		NNPDF40_nnlo_as_01180_nonuc	NNPDF40_nnlo_as_01180_nonuc
		ndata	$\chi^2/ndata$
group	dataset		
NMC	NMCPD	121	0.9643046396312247
NMC	NMC	204	1.5548126599228107
SLAC	SLACP	33	1.003657135089553
SLAC	SLACD	34	0.9299260312173128
BCDMS	BCDMSP	333	1.4318318059552677
BCDMS	BCDMSD	248	1.258143794514465
CHORUS	CHORUSNUPb	416	1.2402858612059329
CHORUS	CHORUSNBPb	416	1.062546509435811
NTVDMN	NTVNUDMNFe	39	0.3044154384654843
NTVDMN	NTVNBDMNFe	37	0.5773060976290767
HERACOMB	HERACOMBNCEM	159	1.389022674357251
HERACOMB	HERACOMBNCEP460	204	1.079312596249621
HERACOMB	HERACOMBNCEP575	254	0.9117599263557196
HERACOMB	HERACOMBNCEP820	70	1.0853559444953367
HERACOMB	HERACOMBNCEP920	377	1.323221633444883
HERACOMB	HERACOMBCCEM	42	1.2525464082535849
HERACOMB	HERACOMBCCEP	39	1.2172065461703012
HERACOMB	HERACOMB_SIGMARED_C	37	2.0010054670018125
HERACOMB	HERACOMB_SIGMARED_B	26	1.4360662821864993
DYE886	DYE886R	15	1.1372082544401636
DYE886	DYE886P	89	1.4915472100632883
DYE605	DYE605	85	1.1434988702435038
DYE906	DYE906R	6	0.9460431220201695
CDF	CDFZRAP_NEW	28	1.3564228109991225
D0	D0ZRAP_40	28	0.6905008647492742
D0	D0WMASY	9	2.435279239663556
ATLAS	ATLASWZRAP36PB	30	1.011471366141147
ATLAS	ATLASZHIGHMASS49FB	5	1.7102717972437713
ATLAS	ATLASLOMASSDY11EXT	6	0.8827312200847109
ATLAS	ATLASWZRAP11CC	46	2.0416746596689923
ATLAS	ATLASWZRAP11CF	15	1.104407738544896
ATLAS	ATLASDY2D8TEV	48	1.1108067258236023
ATLAS	ATLAS_DY_2D_8TEV_LOWMASS	60	1.203048382726693
ATLAS	ATLAS_WZ_TOT_13TEV	3	0.936047944742596
ATLAS	ATLAS_WP_JET_8TEV_PT	15	0.8277325848972862
ATLAS	ATLAS_WM_JET_8TEV_PT	15	1.5232733460891423
ATLAS	ATLASZPT8TEVMDIST	44	0.9132730222354669
ATLAS	ATLASZPT8TEVYDIST	48	0.8426526393899257
ATLAS	ATLASTTBARTOT7TEV	1	3.781440988585626
ATLAS	ATLASTTBARTOT8TEV	1	0.0014372175822357173
ATLAS	ATLAS_TTBARTOT_13TEV_FULLLUMI	1	0.3042788692794726
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TRAPNORM	4	3.716075505371613
ATLAS	ATLAS_TTB_DIFF_8TEV_LJ_TTRAPNORM	4	3.8731657807591393
ATLAS	ATLAS_TOPDIFF_DILEPT_8TEV_TTRAPNORM	5	1.4996155421890687
ATLAS	ATLAS_1JET_8TEV_R06_DEC	171	0.759426061883502
ATLAS	ATLAS_2JET_7TEV_R06	90	2.1668624213922154
ATLAS	ATLASPHT15_SF	53	0.7449136625549663
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1	0.4365818240765765
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1	0.05223115225162281
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3	0.9638493242474192
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3	0.06014755062380615
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3	0.23827277243220413
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3	0.20014084318950953
CMS	CMSWEASY840PB	11	0.7962175080831835
CMS	CMSWMASY47FB	11	1.8217640208030426
CMS	CMSDY2D11	110	1.3560228575260362
CMS	CMSWMU8TEV	22	1.564908973723292
CMS	CMSZDIFF12	28	1.3792112245275305
CMS	CMS_2JET_7TEV	54	1.831240266189796
CMS	CMS_1JET_8TEV	185	1.2221913319835385
CMS	CMSTTBARTOT7TEV	1	0.6353033851781636
CMS	CMSTTBARTOT8TEV	1	0.08057695959841263
CMS	CMSTTBARTOT13TEV	1	0.14867736426408917
CMS	CMSTOPDIFF8TEVTTRAPNORM	9	1.509524487885715
CMS	CMSTTBARTOT5TEV	1	0.4594984085502286
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	16	0.9510923894298955
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10	0.5394312318695721
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11	0.6096344771651555
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1	0.7271347775320751
CMS	CMS_SINGLETOP_TCH_R_8TEV	1	0.14956315412500326
CMS	CMS_SINGLETOP_TCH_R_13TEV	1	0.3368690830238853
LHCb	LHCBZ940PB	9	1.9133098557269461
LHCb	LHCBZEE2FB_40	17	1.301422730630526
LHCb	LHCBWZMU7TEV	29	2.7780290131163525
LHCb	LHCBWZMU8TEV	30	1.7828791643670716
LHCb	LHCB_Z_13TEV_DIMUON	16	1.002890497067056
LHCb	LHCB_Z_13TEV_DIELECTRON	15	1.6871289055890009
